"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
0,,-1.1939528941,451.571350098
0.0025,,-1.13181764493,460.512542725
0.005,,-1.17546962378,470.205688477
0.0075,,-1.37485298663,539.502868652
0.01,,-1.54316872489,764.748077393
0.0125,,-1.0382215101,764.748077393
0.015,,-1.11294111353,764.748077393
0.0175,,-1.11294111353,764.748077393
0.02,,-1.48693239178,764.748077393
0.0225,,-1.60569723514,764.748077393
0.025,,-1.38743734089,764.748077393
0.0275,,-1.49951674604,764.748077393
0.03,,-1.82356386831,764.748077393
0.0325,,-1.80508059799,764.748077393
0.035,,-1.82985604544,764.748077393
0.0375,,-1.70519228603,631.534881592
0.04,,-1.41221278835,459.020385742
0.0425,,-1.13181764493,429.400482178
0.045,,-1.23131269582,426.051940918
0.0475,,-1.4369882358,425.299987793
0.05,,-1.88609237855,428.096313477
0.0525,,-1.50580892318,428.472290039
0.055,,-1.65524813005,448.587036133
0.0575,,-1.7740129734,458.656158447
0.06,,-1.3496842781,467.961578369
0.0625,,-1.70519228603,506.534423828
0.065,,-1.76772079627,713.133544922
0.0675,,-1.68041683857,764.748077393
0.07,,-1.62418050546,764.748077393
0.0725,,-1.83614822257,764.748077393
0.075,,-1.69260793176,764.748077393
0.0775,,-1.6867090157,764.748077393
0.08,,-1.63047268259,764.748077393
0.0825,,-1.71777664029,764.748077393
0.085,,-1.48064021465,764.748077393
0.0875,,-1.23760487295,764.748077393
0.09,,-1.61788832833,764.748077393
0.0925,,-1.27496467467,764.748077393
0.095,,-1.27496467467,559.629364014
0.0975,,-1.38743734089,439.09362793
0.1,,-1.28754902893,424.371795654
0.1025,,-1.11923329066,434.24118042
0.105,,-1.28754902893,430.328674316
0.1075,,-1.13181764493,421.387481689
0.11,,-1.1255254678,434.617156982
0.1125,,-1.27496467467,458.280181885
0.115,,-1.25648140434,460.136566162
0.1175,,-1.14400873812,466.657409668
0.12,,-1.15030091525,527.953338623
0.1225,,-1.27496467467,753.750762939
0.125,,-1.25648140434,764.748077393
0.1275,,-1.29384120606,764.748077393
0.13,,-1.3496842781,764.748077393
0.1325,,-1.15659309238,764.748077393
0.135,,-1.18766071697,764.748077393
0.1375,,-1.15030091525,764.748077393
0.14,,-1.26277358147,764.748077393
0.1425,,-1.44957259006,764.748077393
0.145,,-1.6989001089,764.748077393
0.1475,,-1.3685608095,764.748077393
0.15,,-1.26277358147,764.748077393
0.1525,,-1.2812568518,612.348327637
0.155,,-1.21912160263,447.470855713
0.1575,,-1.23760487295,421.951446533
0.16,,-1.48693239178,428.836517334
0.1625,,-1.53058437063,435.35736084
0.165,,-1.62418050546,424.371795654
0.1675,,-1.66154030718,424.371795654
0.17,,-1.72406881742,456.41204834
0.1725,,-1.73036099455,468.14956665
0.175,,-1.64895595291,473.366241455
0.1775,,-1.65524813005,510.623168945
0.18,,-1.6867090157,728.783569336
0.1825,,-1.67412466144,764.748077393
0.185,,-1.66783248431,764.748077393
0.1875,,-1.64305703685,764.748077393
0.19,,-1.56794417235,764.748077393
0.1925,,-1.599405058,764.748077393
0.195,,-1.68041683857,764.748077393
0.1975,,-1.60569723514,764.748077393
0.2,,-1.72406881742,764.748077393
0.2025,,-1.82356386831,764.748077393
0.205,,-1.73036099455,764.748077393
0.2075,,-1.33120100778,764.748077393
0.21,,-1.15030091525,523.852844238
0.2125,,-1.08187348895,436.109313965
0.215,,-1.62418050546,427.908325195
0.2175,,-1.68041683857,425.863952637
0.22,,-1.2812568518,428.66027832
0.2225,,-1.32490883065,432.937011719
0.225,,-1.66154030718,444.674530029
0.2275,,-1.74884426488,461.440734863
0.23,,-1.44957259006,464.989013672
0.2325,,-1.25018922721,494.232940674
0.235,,-1.38114516376,634.895172119
0.2375,,-1.7740129734,764.748077393
0.24,,-1.23131269582,764.748077393
0.2425,,-1.09406458214,764.748077393
0.245,,-1.33120100778,764.748077393
0.2475,,-1.2812568518,764.748077393
0.25,,-1.31861665352,764.748077393
0.2525,,-1.43108931974,764.748077393
0.255,,-1.58052852661,764.748077393
0.2575,,-1.26277358147,764.748077393
0.26,,-1.17546962378,764.748077393
0.2625,,-1.04451368723,764.748077393
0.265,,-1.11923329066,612.536315918
0.2675,,-1.67412466144,459.948577881
0.27,,-1.63676485972,429.212493896
0.2725,,-1.84873257684,435.921325684
0.275,,-1.9297443574,437.037506104
0.2775,,-1.74255208774,436.849517822
0.28,,-1.66783248431,435.545349121
0.2825,,-1.48064021465,462.38067627
0.285,,-1.48693239178,466.293182373
0.2875,,-1.4369882358,479.887084961
0.29,,-1.37485298663,562.237701416
0.2925,,-1.43108931974,764.748077393
0.295,,-1.21912160263,764.748077393
0.2975,,-1.17546962378,764.748077393
0.3,,-1.17546962378,764.748077393
0.3025,,-1.38743734089,764.748077393
0.305,,-1.54316872489,764.748077393
0.3075,,-1.44957259006,764.748077393
0.31,,-1.2812568518,764.748077393
0.3125,,-1.25648140434,764.748077393
0.315,,-1.13181764493,764.748077393
0.3175,,-1.15030091525,764.748077393
0.32,,-1.35597645523,764.748077393
0.3225,,-1.48693239178,538.386688232
0.325,,-1.60569723514,448.222808838
0.3275,,-1.64895595291,439.269866943
0.33,,-1.44328041293,439.833831787
0.3325,,-1.30013338319,440.021820068
0.335,,-1.1066489364,441.878204346
0.3375,,-1.40592061121,455.29586792
0.34,,-1.54946090202,473.554229736
0.3425,,-1.30013338319,484.727783203
0.345,,-1.26867249754,502.245941162
0.3475,,-1.08816566608,659.298400879
0.35,,-1.20653724836,764.748077393
0.3525,,-1.03192933297,764.748077393
0.355,,-1.13771656099,764.748077393
0.3575,,-1.38743734089,764.748077393
0.36,,-1.58052852661,764.748077393
0.3625,,-1.20653724836,764.748077393
0.365,,-1.21282942549,764.748077393
0.3675,,-1.41850496548,764.748077393
0.37,,-1.53058437063,764.748077393
0.3725,,-1.31861665352,764.748077393
0.375,,-1.06299695755,764.748077393
0.3775,,-1.0382215101,649.241027832
0.38,,-1.04451368723,476.726531982
0.3825,,-1.07558131182,444.122314453
0.385,,-1.16288526951,451.759338379
0.3875,,-1.05041260329,449.526977539
0.39,,-1.39962843408,446.354675293
0.3925,,-1.40592061121,445.97869873
0.395,,-1.50580892318,465.353240967
0.3975,,-1.54946090202,483.247375488
0.4,,-1.53058437063,488.276062012
0.4025,,-1.68041683857,496.841278076
0.405,,-1.85502475397,590.929412842
0.4075,,-1.92345218027,764.748077393
0.41,,-1.87350802429,764.748077393
0.4125,,-1.85502475397,764.748077393
0.415,,-1.36226863237,764.748077393
0.4175,,-1.08816566608,764.748077393
0.42,,-1.11294111353,764.748077393
0.4225,,-1.05041260329,764.748077393
0.425,,-0.981985176986,764.748077393
0.4275,,-1.08187348895,764.748077393
0.43,,-1.24389705008,764.748077393
0.4325,,-1.1939528941,764.748077393
0.435,,-1.18136853984,718.726196289
0.4375,,-1.31861665352,494.984893799
0.44,,-1.13771656099,446.354675293
0.4425,,-1.23760487295,448.034820557
0.445,,-1.16917744665,451.759338379
0.4475,,-1.15659309238,448.587036133
0.45,,-1.10035675927,448.034820557
0.4525,,-1.15659309238,459.948577881
0.455,,-1.23760487295,481.567230225
0.4575,,-1.23760487295,486.595916748
0.46,,-1.4369882358,507.838592529
0.4625,,-1.68041683857,658.546447754
0.465,,-1.4369882358,764.748077393
0.4675,,-1.13181764493,764.748077393
0.47,,-1.05670478042,764.748077393
0.4725,,-1.21912160263,764.748077393
0.475,,-1.21912160263,764.748077393
0.4775,,-1.66154030718,764.748077393
0.48,,-1.6989001089,764.748077393
0.4825,,-1.71777664029,764.748077393
0.485,,-1.44957259006,764.748077393
0.4875,,-1.6115961512,764.748077393
0.49,,-1.32490883065,764.748077393
0.4925,,-1.23131269582,764.748077393
0.495,,-1.20024507123,559.817352295
0.4975,,-1.13771656099,454.743652344
0.5,,-1.48693239178,448.399047852
0.5025,,-1.7740129734,444.674530029
0.505,,-1.49951674604,453.615722656
0.5075,,-1.43108931974,450.267181396
0.51,,-1.35597645523,459.020385742
0.5125,,-1.29384120606,477.842712402
0.515,,-1.38743734089,489.20425415
0.5175,,-1.17546962378,494.044952393
0.52,,-1.58682070374,565.210266113
0.5225,,-1.46844912146,764.748077393
0.525,,-1.48064021465,764.748077393
0.5275,,-1.24389705008,764.748077393
0.53,,-0.957209729531,764.748077393
0.5325,,-0.994569531249,764.748077393
0.535,,-1.15659309238,764.748077393
0.5375,,-1.21282942549,764.748077393
0.54,,-1.41221278835,764.748077393
0.5425,,-1.38114516376,764.748077393
0.545,,-1.33749318491,764.748077393
0.5475,,-1.33120100778,764.748077393
0.55,,-1.34378536204,764.748077393
0.5525,,-1.38743734089,521.996459961
0.555,,-1.16917744665,454.1796875
0.5575,,-1.66783248431,451.007385254
0.56,,-1.7740129734,457.716217041
0.5625,,-1.88609237855,448.775024414
0.565,,-1.37485298663,455.483856201
0.5675,,-1.25648140434,466.845397949
0.57,,-1.599405058,485.103759766
0.5725,,-1.60569723514,487.336120605
0.575,,-1.79249624372,517.332000732
0.5775,,-1.61788832833,678.484954834
0.58,,-1.44328041293,764.748077393
0.5825,,-1.63047268259,764.748077393
0.585,,-1.67412466144,764.748077393
0.5875,,-1.81137277512,764.748077393
0.59,,-1.58682070374,764.748077393
0.5925,,-1.21912160263,764.748077393
0.595,,-1.56794417235,764.748077393
0.5975,,-1.70519228603,764.748077393
0.6,,-1.80508059799,764.748077393
0.6025,,-1.33749318491,764.748077393
0.605,,-1.30603229925,764.748077393
0.6075,,-1.78620406659,679.977111816
0.61,,-1.72406881742,483.247375488
0.6125,,-1.69260793176,448.963012695
0.615,,-1.78620406659,453.251495361
0.6175,,-1.77991188946,456.224060059
0.62,,-1.58682070374,451.94732666
0.6225,,-1.36226863237,454.1796875
0.625,,-1.16917744665,475.786590576
0.6275,,-1.3496842781,483.799591064
0.63,,-1.23760487295,491.812591553
0.6325,,-1.33120100778,540.619049072
0.635,,-1.42479714261,751.330413818
0.6375,,-1.30013338319,764.748077393
0.64,,-1.27496467467,764.748077393
0.6425,,-1.39333625695,764.748077393
0.645,,-1.29384120606,764.748077393
0.6475,,-1.23131269582,764.748077393
0.65,,-0.988277354118,764.748077393
0.6525,,-1.08187348895,764.748077393
0.655,,-1.05041260329,764.748077393
0.6575,,-1.08816566608,764.748077393
0.66,,-0.932041021006,764.748077393
0.6625,,-1.13181764493,764.748077393
0.665,,-1.47474129859,610.115966797
0.6675,,-1.49322456891,473.742218018
0.67,,-1.16288526951,445.050506592
0.6725,,-1.29384120606,456.600036621
0.675,,-1.48064021465,453.615722656
0.6775,,-1.48693239178,455.483856201
0.68,,-1.43108931974,454.919891357
0.6825,,-1.6115961512,470.945892334
0.685,,-1.75513644201,482.495422363
0.6875,,-1.80508059799,492.740783691
0.69,,-1.7740129734,515.099639893
0.6925,,-1.77991188946,713.321533203
0.695,,-1.62418050546,764.748077393
0.6975,,-1.61788832833,764.748077393
0.7,,-1.42479714261,764.748077393
0.7025,,-1.25018922721,764.748077393
0.705,,-1.11923329066,764.748077393
0.7075,,-1.26867249754,764.748077393
0.71,,-1.26277358147,764.748077393
0.7125,,-1.20653724836,764.748077393
0.715,,-1.31232447638,764.748077393
0.7175,,-1.50580892318,764.748077393
0.72,,-1.63676485972,764.748077393
0.7225,,-1.74884426488,675.68862915
0.725,,-1.89867673282,492.740783691
0.7275,,-1.91086782601,451.94732666
0.73,,-1.35597645523,451.007385254
0.7325,,-1.39333625695,453.251495361
0.735,,-1.18766071697,448.222808838
0.7375,,-0.988277354118,457.164001465
0.74,,-0.9509175524,478.206939697
0.7425,,-1.53687654776,486.407928467
0.745,,-1.66154030718,490.508422852
0.7475,,-1.44957259006,534.66217041
0.75,,-1.26867249754,711.465148926
0.7525,,-1.21912160263,764.748077393
0.755,,-1.2812568518,764.748077393
0.7575,,-1.50580892318,764.748077393
0.76,,-1.64305703685,764.748077393
0.7625,,-1.72406881742,764.748077393
0.765,,-1.70519228603,764.748077393
0.7675,,-1.56794417235,764.748077393
0.77,,-1.40592061121,764.748077393
0.7725,,-1.42479714261,764.748077393
0.775,,-1.599405058,764.748077393
0.7775,,-1.61788832833,764.748077393
0.78,,-1.45586476719,627.070159912
0.7825,,-1.31861665352,478.770904541
0.785,,-1.1939528941,444.310302734
0.7875,,-1.26867249754,455.483856201
0.79,,-1.33749318491,448.587036133
0.7925,,-1.38743734089,452.135314941
0.795,,-1.48064021465,448.587036133
0.7975,,-1.77991188946,475.974578857
0.8,,-1.80508059799,485.103759766
0.8025,,-1.87350802429,492.55279541
0.805,,-1.50580892318,544.343566895
0.8075,,-1.66154030718,764.748077393
0.81,,-1.48693239178,764.748077393
0.8125,,-1.41850496548,764.748077393
0.815,,-1.33749318491,764.748077393
0.8175,,-1.25648140434,764.748077393
0.82,,-1.56204525629,764.748077393
0.8225,,-1.81766495225,764.748077393
0.825,,-1.38743734089,764.748077393
