"Latest: Time (s)","Latest: Illumination 2 (lux)","Latest: Force (N)","Latest: Illumination 1 (lux)"
0,,-1.77991188946,404.809265137
0.0025,,-1.73036099455,400.332794189
0.005,,-1.66154030718,399.780578613
0.0075,,-1.61788832833,403.881072998
0.01,,-1.64895595291,405.37322998
0.0125,,-1.6989001089,406.853637695
0.015,,-1.82985604544,406.4894104
0.0175,,-1.78620406659,419.719085693
0.02,,-1.82356386831,438.529663086
0.0225,,-1.80508059799,442.818145752
0.025,,-1.83614822257,449.703216553
0.0275,,-1.7740129734,453.06350708
0.03,,-1.77991188946,498.885650635
0.0325,,-1.82985604544,626.69418335
0.035,,-1.85502475397,764.748077393
0.0375,,-1.83614822257,764.748077393
0.04,,-1.74884426488,764.748077393
0.0425,,-1.82985604544,764.748077393
0.045,,-1.84873257684,764.748077393
0.0475,,-1.82985604544,764.748077393
0.05,,-1.80508059799,764.748077393
0.0525,,-1.82356386831,764.748077393
0.055,,-1.82985604544,764.748077393
0.0575,,-1.80508059799,764.748077393
0.06,,-1.71777664029,764.748077393
0.0625,,-1.71777664029,764.748077393
0.065,,-1.74884426488,764.748077393
0.0675,,-1.73625991061,764.748077393
0.07,,-1.65524813005,764.748077393
0.0725,,-1.80508059799,615.14465332
0.075,,-1.90496890995,462.932891846
0.0775,,-1.86721584716,411.142120361
0.08,,-1.87980020142,404.997253418
0.0825,,-1.79249624372,399.592590332
0.085,,-1.66154030718,401.824951172
0.0875,,-1.65524813005,404.069061279
0.09,,-1.71777664029,408.909759521
0.0925,,-1.81766495225,405.185241699
0.095,,-1.77991188946,418.414916992
0.0975,,-1.81137277512,437.225494385
0.1,,-1.81137277512,444.862518311
0.1025,,-1.80508059799,444.486541748
0.105,,-1.74884426488,452.311553955
0.1075,,-1.7740129734,500.565795898
0.11,,-1.78620406659,622.781677246
0.1125,,-1.77991188946,764.748077393
0.115,,-1.84873257684,764.748077393
0.1175,,-1.82356386831,764.748077393
0.12,,-1.79249624372,764.748077393
0.1225,,-1.73036099455,764.748077393
0.125,,-1.80508059799,764.748077393
0.1275,,-1.84873257684,764.748077393
0.13,,-1.7740129734,764.748077393
0.1325,,-1.7740129734,764.748077393
0.135,,-1.71777664029,764.748077393
0.1375,,-1.82985604544,764.748077393
0.14,,-1.79249624372,764.748077393
0.1425,,-1.77991188946,764.748077393
0.145,,-1.80508059799,764.748077393
0.1475,,-1.67412466144,764.748077393
0.15,,-1.81137277512,643.272399902
0.1525,,-1.86721584716,477.842712402
0.155,,-1.76772079627,418.967132568
0.1575,,-1.82356386831,401.460723877
0.16,,-1.80508059799,399.404602051
0.1625,,-1.81137277512,403.129119873
0.165,,-1.73625991061,401.824951172
0.1675,,-1.49951674604,402.576904297
0.17,,-1.56204525629,404.245300293
0.1725,,-1.6867090157,407.793579102
0.175,,-1.82356386831,427.356109619
0.1775,,-1.77991188946,436.661529541
0.18,,-1.63047268259,444.122314453
0.1825,,-1.71777664029,451.94732666
0.185,,-1.78620406659,468.525543213
0.1875,,-1.78620406659,549.384002686
0.19,,-1.7740129734,721.710510254
0.1925,,-1.82356386831,764.748077393
0.195,,-1.83614822257,764.748077393
0.1975,,-1.70519228603,764.748077393
0.2,,-1.73625991061,764.748077393
0.2025,,-1.81766495225,764.748077393
0.205,,-1.6867090157,764.748077393
0.2075,,-1.79878842086,764.748077393
0.21,,-1.76772079627,764.748077393
0.2125,,-1.82985604544,764.748077393
0.215,,-1.76142861914,764.748077393
0.2175,,-1.71148446316,764.748077393
0.22,,-1.71777664029,764.748077393
0.2225,,-1.7740129734,764.748077393
0.225,,-1.65524813005,764.748077393
0.2275,,-1.69260793176,764.748077393
0.23,,-1.85502475397,559.629364014
0.2325,,-1.85502475397,444.310302734
